TTL	IP	Intentos	RTT Promedio	Desvio Standard	Delta RTT
1:	192.168.1.1	8	64.00ms	15.06ms	64.00ms
2:	 **** No hubo respuesta ***
3:	 **** No hubo respuesta ***
4:	 **** No hubo respuesta ***
5:	 **** No hubo respuesta ***
6:	200.89.165.185	10	64.30ms	6.63ms	0.30ms
7:	200.89.165.130	10	64.80ms	8.07ms	0.50ms
8:	200.89.165.222	10	65.30ms	6.33ms	0.50ms
9:	207.138.43.189	10	67.10ms	12.28ms	1.80ms
10:	67.17.68.234	4	188.50ms	4.04ms	121.40ms
11:	4.68.111.121	10	196.70ms	9.37ms	8.20ms
12:	4.69.143.190	5	291.40ms	9.61ms	94.70ms
13:	212.187.139.166	10	287.90ms	6.45ms	-3.50ms
14:	146.97.33.2	10	283.10ms	11.85ms	-4.80ms
15:	146.97.37.194	10	285.20ms	8.35ms	2.10ms
16:	193.63.108.94	10	291.90ms	6.49ms	6.70ms
17:	193.63.108.98	10	288.90ms	7.71ms	-3.00ms
18:	193.63.109.42	10	284.50ms	14.32ms	-4.40ms
19:	192.76.21.71	10	280.90ms	5.80ms	-3.60ms
20:	192.76.22.200	10	281.10ms	5.36ms	0.20ms
21:	192.76.32.62	10	278.40ms	5.42ms	-2.70ms
22:	129.67.242.155	10	280.70ms	13.44ms	2.30ms
