TTL	IP	Intentos	RTT Promedio	Desvio Standard	Delta RTT
1:	192.168.29.254	8	52.88ms	14.48ms	52.88ms	nanms
2:	10.26.128.1	10	57.40ms	4.01ms	4.52ms	nanms
3:	181.47.254.145	10	57.20ms	6.70ms	-0.20ms	nanms
4:	208.178.195.210	10	57.80ms	3.12ms	0.60ms	0.25ms
5:	208.178.195.209	10	217.30ms	12.94ms	159.50ms	nanms
6:	4.68.111.121	10	196.10ms	11.39ms	-21.20ms	nanms
7:	4.69.143.190	3	300.67ms	10.02ms	104.57ms	nanms
8:	212.187.139.166	10	289.20ms	6.89ms	-11.47ms	nanms
9:	146.97.33.2	10	290.40ms	13.70ms	1.20ms	nanms
10:	146.97.37.194	10	286.80ms	5.90ms	-3.60ms	nanms
11:	193.63.108.94	9	281.78ms	6.44ms	-5.02ms	nanms
12:	193.63.108.98	10	282.10ms	5.26ms	0.32ms	-0.46ms
13:	193.63.109.42	10	289.80ms	10.51ms	7.70ms	nanms
14:	192.76.21.9	10	290.20ms	8.16ms	0.40ms	-0.25ms
15:	192.76.22.200	10	288.90ms	3.35ms	-1.30ms	nanms
16:	192.76.32.62	10	278.40ms	6.85ms	-10.50ms	nanms
17:	129.67.242.155	10	295.20ms	8.47ms	16.80ms	nanms
