TTL	IP	Intentos	RTT Promedio	Desvio Standard	Delta RTT
1:	192.168.29.254	8	52.62ms	14.01ms	52.62ms
2:	10.26.128.1	10	61.20ms	7.74ms	8.58ms
3:	181.47.254.145	10	59.90ms	6.06ms	-1.30ms
4:	195.22.220.33	10	65.40ms	7.31ms	5.50ms
5:	195.22.220.32	10	60.00ms	6.80ms	-5.40ms
6:	149.3.183.11	10	291.60ms	13.92ms	231.60ms
7:	195.66.225.24	10	290.50ms	5.40ms	-1.10ms
8:	109.105.102.98	10	306.00ms	5.19ms	15.50ms
9:	62.40.98.77	10	301.40ms	5.34ms	-4.60ms
10:	62.40.98.153	10	302.40ms	6.54ms	1.00ms
11:	62.40.124.193	10	309.60ms	4.72ms	7.20ms
12:	130.206.215.98	10	325.70ms	6.50ms	16.10ms
13:	193.145.14.13	10	318.80ms	7.91ms	-6.90ms
14:	 **** No hubo respuesta ***
15:	 **** No hubo respuesta ***
16:	 **** No hubo respuesta ***
17:	 **** No hubo respuesta ***
18:	 **** No hubo respuesta ***
19:	 **** No hubo respuesta ***
20:	 **** No hubo respuesta ***
21:	 **** No hubo respuesta ***
22:	150.244.214.237	9	324.44ms	9.02ms	5.64ms
