HORA;DRTT
2015-12-07 08:02;227.70
2015-12-07 07:00;205.30
2015-12-07 08:34;205.70
2015-12-07 06:28;205.90
2015-12-07 04:54;209.70
2015-12-06 22:05;207.10
2015-12-07 03:19;210.70
2015-12-06 20:30;212.10
2015-12-07 03:51;206.30
2015-12-07 04:22;206.30
2015-12-06 23:39;207.70
2015-12-06 21:01;216.70
2015-12-07 00:11;210.60
2015-12-07 00:42;213.30
2015-12-06 19:57;333.70
2015-12-07 09:05;209.00
2015-12-07 05:25;209.70
2015-12-07 05:57;211.00
2015-12-06 23:08;210.00
2015-12-07 02:48;206.20
2015-12-06 20:30;209.70
2015-12-06 22:36;207.60
2015-12-07 01:45;210.00
2015-12-06 21:33;214.30
2015-12-07 07:31;214.00
2015-12-07 01:13;208.39
2015-12-07 09:37;217.70
