HORA	IP_SRC P_VALOR
2015-12-06 22:05	73.80
2015-12-06 20:31	86.90
2015-12-07 00:43	86.00
2015-12-07 08:34	141.50
2015-12-07 02:49	80.30
2015-12-06 23:09	92.70
2015-12-07 09:06	87.30
2015-12-07 02:17	82.30
2015-12-06 21:02	91.40
2015-12-06 23:40	85.10
2015-12-07 03:52	81.57
2015-12-07 01:46	88.20
2015-12-06 21:34	80.90
2015-12-07 05:58	84.70
2015-12-07 04:55	82.30
2015-12-07 08:03	108.10
2015-12-07 01:14	83.10
2015-12-07 09:38	85.30
2015-12-07 04:23	88.70
2015-12-07 03:20	81.40
2015-12-06 22:37	85.00
2015-12-07 05:26	85.20
2015-12-07 06:29	84.30
