HORA;DRTT
2015-12-07 02:49;127.40
2015-12-06 23:09;121.70
2015-12-07 01:46;137.70
2015-12-07 06:29;120.00
2015-12-07 02:17;127.70
2015-12-07 04:55;122.70
2015-12-07 01:14;127.40
2015-12-06 19:59;541.00
2015-12-07 09:06;129.60
2015-12-06 23:40;134.10
2015-12-07 04:23;127.10
2015-12-07 03:52;124.90
2015-12-07 08:34;143.00
2015-12-07 05:58;125.00
2015-12-06 22:37;132.90
2015-12-07 09:38;123.90
2015-12-07 00:43;123.90
2015-12-06 22:05;162.70
2015-12-06 20:31;124.30
2015-12-07 03:20;122.30
2015-12-07 05:26;117.50
2015-12-06 21:34;140.13
2015-12-07 08:03;131.30
2015-12-06 21:02;140.10
