IP;RTT Promedio 1;RTT Promedio 2;RTT Promedio 3
10.0.0.1;57.75ms;53.50ms;54.88ms
10.24.128.1;61.50ms;61.50ms;59.10ms
181.47.254.85;60.40ms;60.80ms;58.90ms
195.22.220.93;63.80ms;55.80ms;65.60ms
195.22.220.92;57.80ms;61.80ms;58.50ms
149.3.183.11;268.50ms;268.10ms;268.20ms
109.105.97.126;326.50ms;323.10ms;325.50ms
109.105.102.102;338.50ms;333.50ms;332.50ms
109.105.102.103;324.80ms;325.10ms;324.80ms
193.167.253.9;332.10ms;332.10ms;329.50ms
128.214.173.242;339.50ms;335.80ms;345.40ms
128.214.173.10;334.10ms;335.20ms;328.10ms
128.214.189.85;327.10ms;325.10ms;326.80ms
128.214.189.90;337.20ms;337.50ms;335.50ms
