IP;RTT Promedio 1;RTT Promedio 2;RTT Promedio 3
10.0.0.1;55.12;57.62;57.88
10.24.128.1;99.40;61.40;70.10
181.47.254.85;103.60;62.80;69.80
208.178.195.214;105.40;63.50;71.50
208.178.195.213;101.50;62.80;72.40
67.17.75.66;232.80;182.80;215.40
4.68.111.121;225.40;188.80;197.10
212.187.139.166;333.50;273.10;276.40
146.97.33.2;330.50;273.80;292.20
146.97.37.194;331.80;278.80;290.80
193.63.108.94;314.40;272.80;277.40
193.63.108.98;329.80;277.80;279.70
193.63.109.42;338.80;274.10;421.20
192.76.21.71;332.50;284.80;275.40
192.76.22.200;343.50;274.40;283.50
192.76.32.62;340.40;274.50;293.50
129.67.242.154;320.20;281.10;273.10
