HORA	IP_SRC	IP_DST	N	DRTT_MAX	P_VALOR	ESTADISTICO	VALOR_CRITICO	ES_OUTLIER?
2015-12-07 08:02	195.22.220.92	149.3.183.11	14	227.70	0.000000	3.25	1.5895	SI
2015-12-07 07:00	195.22.220.92	149.3.183.11	14	205.30	0.000000	3.23	1.5895	SI
2015-12-07 08:34	195.22.220.92	149.3.183.11	14	205.70	0.000001	3.23	1.5895	SI
2015-12-07 06:28	195.22.220.92	149.3.183.11	14	205.90	0.000000	3.24	1.5895	SI
2015-12-07 04:54	195.22.220.92	149.3.183.11	14	209.70	0.000000	3.25	1.5895	SI
2015-12-06 22:05	195.22.220.92	149.3.183.11	14	207.10	0.000001	3.20	1.5895	SI
2015-12-07 03:19	195.22.220.92	149.3.183.11	14	210.70	0.000001	3.22	1.5895	SI
2015-12-06 20:30	195.22.220.92	149.3.183.11	14	212.10	0.000000	3.25	1.5895	SI
2015-12-07 03:51	195.22.220.92	149.3.183.11	14	206.30	0.000000	3.25	1.5895	SI
2015-12-07 04:22	195.22.220.92	149.3.183.11	14	206.30	0.000001	3.21	1.5895	SI
2015-12-06 23:39	195.22.220.92	149.3.183.11	14	207.70	0.000001	3.23	1.5895	SI
2015-12-06 21:01	195.22.220.92	149.3.183.11	14	216.70	0.000000	3.26	1.5895	SI
2015-12-07 00:11	195.22.220.92	149.3.183.11	14	210.60	0.000000	3.25	1.5895	SI
2015-12-07 00:42	195.22.220.92	149.3.183.11	14	213.30	0.000000	3.24	1.5895	SI
2015-12-06 19:57	128.214.173.10	128.214.189.85	14	333.70	0.588223	1.54	1.5895	NO
2015-12-07 09:05	195.22.220.92	149.3.183.11	14	209.00	0.000001	3.23	1.5895	SI
2015-12-07 05:25	195.22.220.92	149.3.183.11	14	209.70	0.000001	3.23	1.5895	SI
2015-12-07 05:57	195.22.220.92	149.3.183.11	14	211.00	0.000000	3.24	1.5895	SI
2015-12-06 23:08	195.22.220.92	149.3.183.11	14	210.00	0.000001	3.21	1.5895	SI
2015-12-07 02:48	195.22.220.92	149.3.183.11	14	206.20	0.000001	3.22	1.5895	SI
2015-12-06 20:30	195.22.220.92	149.3.183.11	14	209.70	0.000000	3.25	1.5895	SI
2015-12-06 22:36	195.22.220.92	149.3.183.11	14	207.60	0.000001	3.23	1.5895	SI
2015-12-07 01:45	195.22.220.92	149.3.183.11	14	210.00	0.000001	3.24	1.5895	SI
2015-12-06 21:33	195.22.220.92	149.3.183.11	14	214.30	0.000001	3.22	1.5895	SI
2015-12-07 07:31	195.22.220.92	149.3.183.11	14	214.00	0.000000	3.24	1.5895	SI
2015-12-07 01:13	195.22.220.92	149.3.183.11	14	208.39	0.000000	3.25	1.5895	SI
2015-12-07 09:37	195.22.220.92	149.3.183.11	14	217.70	0.000002	3.17	1.5895	SI
