TTL	IP	Intentos	RTT Promedio	Desvio Standard	Delta RTT
1:	10.0.0.1	8	57.75ms	14.29ms	57.75ms
2:	10.24.128.1	10	61.50ms	3.78ms	3.75ms
3:	181.47.254.85	10	60.40ms	1.90ms	-1.10ms
4:	195.22.220.93	10	63.80ms	5.01ms	3.40ms
5:	195.22.220.92	10	57.80ms	4.44ms	-6.00ms
6:	149.3.183.11	10	268.50ms	5.19ms	210.70ms
7:	 **** No hubo respuesta ***
8:	109.105.97.126	10	326.50ms	6.67ms	58.00ms
9:	109.105.102.102	10	338.50ms	9.70ms	12.00ms
10:	109.105.102.103	10	324.80ms	3.52ms	-13.70ms
11:	193.167.253.9	10	332.10ms	5.32ms	7.30ms
12:	128.214.173.242	10	339.50ms	12.83ms	7.40ms
13:	128.214.173.10	10	334.10ms	20.28ms	-5.40ms
14:	128.214.189.85	10	327.10ms	5.57ms	-7.00ms
15:	128.214.189.90	10	337.20ms	6.60ms	10.10ms
