HORA	IP_SRC	IP_DST	N	DRTT_MAX	P_VALOR	ESTADISTICO	VALOR_CRITICO	ES_OUTLIER?
2015-12-06 22:05	4.68.111.121	212.187.139.166	16	73.80	0.001433	2.69	1.5971	SI
2015-12-06 20:31	4.68.111.121	212.187.139.166	16	86.90	0.100648	2.48	1.5971	SI
2015-12-07 00:43	4.68.111.121	212.187.139.166	16	86.00	0.000011	3.01	1.5971	SI
2015-12-07 08:34	193.63.108.98	193.63.109.42	16	141.50	0.042960	2.28	1.5971	SI
2015-12-07 02:49	4.68.111.121	212.187.139.166	16	80.30	0.000110	2.89	1.5971	SI
2015-12-06 23:09	4.68.111.121	212.187.139.166	16	92.70	0.000007	3.12	1.5971	SI
2015-12-07 09:06	4.68.111.121	212.187.139.166	16	87.30	0.000010	3.04	1.5971	SI
2015-12-07 02:17	4.68.111.121	212.187.139.166	16	82.30	0.000008	3.03	1.5971	SI
2015-12-06 21:02	4.68.111.121	212.187.139.166	16	91.40	0.000021	3.02	1.5971	SI
2015-12-06 23:40	4.68.111.121	212.187.139.166	16	85.10	0.000090	2.92	1.5971	SI
2015-12-07 03:52	4.68.111.121	212.187.139.166	16	81.57	0.000021	3.00	1.5971	SI
2015-12-07 01:46	4.68.111.121	212.187.139.166	16	88.20	0.000008	3.08	1.5971	SI
2015-12-06 21:34	4.68.111.121	212.187.139.166	16	80.90	0.000311	2.85	1.5971	SI
2015-12-07 05:58	4.68.111.121	212.187.139.166	16	84.70	0.000014	3.00	1.5971	SI
2015-12-07 04:55	4.68.111.121	212.187.139.166	16	82.30	0.000048	2.96	1.5971	SI
2015-12-07 08:03	4.68.111.121	212.187.139.166	16	108.10	0.000178	2.97	1.5971	SI
2015-12-07 01:14	4.68.111.121	212.187.139.166	16	83.10	0.000012	3.02	1.5971	SI
2015-12-07 09:38	4.68.111.121	212.187.139.166	16	85.30	0.000018	2.98	1.5971	SI
2015-12-07 04:23	4.68.111.121	212.187.139.166	16	88.70	0.000120	2.92	1.5971	SI
2015-12-07 03:20	4.68.111.121	212.187.139.166	16	81.40	0.000015	2.99	1.5971	SI
2015-12-06 22:37	4.68.111.121	212.187.139.166	16	85.00	0.000052	2.95	1.5971	SI
2015-12-07 05:26	4.68.111.121	212.187.139.166	16	85.20	0.000011	3.05	1.5971	SI
2015-12-07 06:29	4.68.111.121	212.187.139.166	16	84.30	0.000019	2.99	1.5971	SI
