HORA	IP_SRC	IP_DST	N	DRTT_MAX	P_VALOR	ESTADISTICO	VALOR_CRITICO	ES_OUTLIER?
2015-12-07 02:49	208.178.195.213	67.17.75.66	17	127.40	0.000088	2.98	1.6002	SI
2015-12-06 23:09	208.178.195.213	67.17.75.66	18	121.70	0.000152	2.72	1.6029	SI
2015-12-07 01:46	208.178.195.213	67.17.75.66	17	137.70	0.000033	3.03	1.6002	SI
2015-12-07 06:29	208.178.195.213	67.17.75.66	17	120.00	0.000150	2.88	1.6002	SI
2015-12-07 02:17	208.178.195.213	67.17.75.66	17	127.70	0.000040	3.01	1.6002	SI
2015-12-07 04:55	208.178.195.213	67.17.75.66	17	122.70	0.000126	2.93	1.6002	SI
2015-12-07 01:14	208.178.195.213	67.17.75.66	17	127.40	0.000051	2.99	1.6002	SI
2015-12-06 19:59	212.187.139.166	146.97.33.2	18	541.00	0.163615	2.40	1.6029	SI
2015-12-07 09:06	208.178.195.213	67.17.75.66	17	129.60	0.000070	2.96	1.6002	SI
2015-12-06 23:40	208.178.195.213	67.17.75.66	18	134.10	0.000142	2.85	1.6029	SI
2015-12-07 04:23	208.178.195.213	67.17.75.66	17	127.10	0.000315	2.85	1.6002	SI
2015-12-07 03:52	208.178.195.213	67.17.75.66	17	124.90	0.000064	2.98	1.6002	SI
2015-12-07 08:34	208.178.195.213	67.17.75.66	17	143.00	0.183327	1.94	1.6002	SI
2015-12-07 05:58	208.178.195.213	67.17.75.66	17	125.00	0.000093	2.93	1.6002	SI
2015-12-06 22:37	208.178.195.213	67.17.75.66	17	132.90	0.000071	2.99	1.6002	SI
2015-12-07 09:38	208.178.195.213	67.17.75.66	17	123.90	0.000123	2.91	1.6002	SI
2015-12-07 00:43	208.178.195.213	67.17.75.66	17	123.90	0.000113	2.90	1.6002	SI
2015-12-06 22:05	208.178.195.213	67.17.75.66	18	162.70	0.000020	3.14	1.6029	SI
2015-12-06 20:31	208.178.195.213	67.17.75.66	18	124.30	0.009293	2.55	1.6029	SI
2015-12-07 03:20	208.178.195.213	67.17.75.66	17	122.30	0.000078	2.95	1.6002	SI
2015-12-07 05:26	208.178.195.213	67.17.75.66	17	117.50	0.000158	2.86	1.6002	SI
2015-12-06 21:34	208.178.195.213	67.17.75.66	17	140.13	0.000040	3.08	1.6002	SI
2015-12-07 08:03	208.178.195.213	67.17.75.66	17	131.30	0.001685	2.63	1.6002	SI
2015-12-06 21:02	208.178.195.213	67.17.75.66	17	140.10	0.000061	2.99	1.6002	SI
