TTL	IP	Intentos	RTT Promedio	Desvio Standard	Delta RTT
1:	10.0.0.1	8	55.38ms	10.89ms	55.38ms
2:	10.24.128.1	10	60.00ms	3.77ms	4.62ms
3:	181.47.254.85	10	58.50ms	5.78ms	-1.50ms
4:	208.178.195.214	10	65.30ms	5.85ms	6.80ms
5:	208.178.195.213	10	65.10ms	6.72ms	-0.20ms
6:	67.17.75.66	10	182.60ms	14.40ms	117.50ms
7:	4.68.111.121	10	188.30ms	5.23ms	5.70ms
8:	 **** No hubo respuesta ***
9:	212.187.139.166	10	273.50ms	7.68ms	85.20ms
10:	146.97.33.2	10	273.10ms	6.92ms	-0.40ms
11:	146.97.37.194	10	276.70ms	7.89ms	3.60ms
12:	193.63.108.94	10	273.40ms	4.48ms	-3.30ms
13:	193.63.108.98	10	273.90ms	5.88ms	0.50ms
14:	193.63.109.42	10	271.20ms	5.51ms	-2.70ms
15:	192.76.21.71	10	273.70ms	5.31ms	2.50ms
16:	192.76.22.200	10	275.90ms	5.15ms	2.20ms
17:	192.76.32.62	10	283.50ms	37.29ms	7.60ms
18:	129.67.242.154	10	270.90ms	4.20ms	-12.60ms
